match_id,t1,t2,date,0_in_pool,1_in_pool,2_in_pool,3_in_pool,4_in_pool,5_in_pool,6_in_pool,7_in_pool,8_in_pool,9_in_pool,team,action,map
188355,4050,10408,2023-04-06,1,0,0,1,1,1,1,1,1,0,4050,ban,3
188355,4050,10408,2023-04-06,1,0,0,0,1,1,1,1,1,0,10408,ban,0
188355,4050,10408,2023-04-06,0,0,0,0,1,1,1,1,1,0,4050,pick,5
188355,4050,10408,2023-04-06,0,0,0,0,1,0,1,1,1,0,10408,pick,4
188355,4050,10408,2023-04-06,0,0,0,0,0,0,1,1,1,0,4050,ban,7
188355,4050,10408,2023-04-06,0,0,0,0,0,0,1,0,1,0,10408,ban,8
188355,4050,10408,2023-04-06,0,0,0,0,0,0,1,0,0,0,0,remaining,6
296985,12679,7403,2024-02-09,1,1,1,0,0,1,1,0,1,1,12679,ban,8
296985,12679,7403,2024-02-09,1,1,1,0,0,1,1,0,0,1,7403,ban,0
296985,12679,7403,2024-02-09,0,1,1,0,0,1,1,0,0,1,12679,pick,5
296985,12679,7403,2024-02-09,0,1,1,0,0,0,1,0,0,1,7403,pick,9
296985,12679,7403,2024-02-09,0,1,1,0,0,0,1,0,0,0,12679,ban,2
296985,12679,7403,2024-02-09,0,1,0,0,0,0,1,0,0,0,7403,ban,1
296985,12679,7403,2024-02-09,0,0,0,0,0,0,1,0,0,0,0,remaining,6
314542,8369,13368,2024-03-15,1,1,1,0,0,1,1,0,1,1,8369,ban,5
314542,8369,13368,2024-03-15,1,1,1,0,0,0,1,0,1,1,13368,ban,9
314542,8369,13368,2024-03-15,1,1,1,0,0,0,1,0,1,0,8369,pick,1
314542,8369,13368,2024-03-15,1,0,1,0,0,0,1,0,1,0,13368,pick,0
314542,8369,13368,2024-03-15,0,0,1,0,0,0,1,0,1,0,8369,ban,2
314542,8369,13368,2024-03-15,0,0,0,0,0,0,1,0,1,0,13368,ban,6
314542,8369,13368,2024-03-15,0,0,0,0,0,0,0,0,1,0,0,remaining,8
296798,623,14148,2024-02-04,1,1,1,0,0,1,1,0,1,1,623,ban,5
296798,623,14148,2024-02-04,1,1,1,0,0,0,1,0,1,1,14148,ban,2
296798,623,14148,2024-02-04,1,1,0,0,0,0,1,0,1,1,623,pick,1
296798,623,14148,2024-02-04,1,0,0,0,0,0,1,0,1,1,14148,pick,6
296798,623,14148,2024-02-04,1,0,0,0,0,0,0,0,1,1,623,ban,9
296798,623,14148,2024-02-04,1,0,0,0,0,0,0,0,1,0,14148,ban,8
296798,623,14148,2024-02-04,1,0,0,0,0,0,0,0,0,0,0,remaining,0
332994,6530,12255,2024-04-20,1,1,1,0,0,1,1,0,1,1,6530,ban,6
332994,6530,12255,2024-04-20,1,1,1,0,0,1,0,0,1,1,12255,ban,1
332994,6530,12255,2024-04-20,1,0,1,0,0,1,0,0,1,1,6530,pick,0
332994,6530,12255,2024-04-20,0,0,1,0,0,1,0,0,1,1,12255,pick,2
332994,6530,12255,2024-04-20,0,0,0,0,0,1,0,0,1,1,6530,ban,8
332994,6530,12255,2024-04-20,0,0,0,0,0,1,0,0,0,1,12255,ban,5
332994,6530,12255,2024-04-20,0,0,0,0,0,0,0,0,0,1,0,remaining,9
287392,7055,8240,2023-12-02,1,1,1,0,1,0,1,0,1,1,7055,ban,6
287392,7055,8240,2023-12-02,1,1,1,0,1,0,0,0,1,1,8240,ban,2
287392,7055,8240,2023-12-02,1,1,0,0,1,0,0,0,1,1,7055,pick,1
287392,7055,8240,2023-12-02,1,0,0,0,1,0,0,0,1,1,8240,pick,4
287392,7055,8240,2023-12-02,1,0,0,0,0,0,0,0,1,1,7055,ban,8
287392,7055,8240,2023-12-02,1,0,0,0,0,0,0,0,0,1,8240,ban,9
287392,7055,8240,2023-12-02,1,0,0,0,0,0,0,0,0,0,0,remaining,0
188360,4050,497,2023-04-20,1,0,0,1,1,1,1,1,1,0,4050,ban,6
188360,4050,497,2023-04-20,1,0,0,1,1,1,0,1,1,0,497,ban,7
188360,4050,497,2023-04-20,1,0,0,1,1,1,0,0,1,0,4050,pick,5
188360,4050,497,2023-04-20,1,0,0,1,1,0,0,0,1,0,497,pick,4
188360,4050,497,2023-04-20,1,0,0,1,0,0,0,0,1,0,4050,ban,8
188360,4050,497,2023-04-20,1,0,0,1,0,0,0,0,0,0,497,ban,3
188360,4050,497,2023-04-20,1,0,0,0,0,0,0,0,0,0,0,remaining,0
305350,4569,1458,2024-03-04,1,1,1,0,0,1,1,0,1,1,4569,ban,6
305350,4569,1458,2024-03-04,1,1,1,0,0,1,0,0,1,1,1458,ban,2
305350,4569,1458,2024-03-04,1,1,0,0,0,1,0,0,1,1,4569,pick,9
305350,4569,1458,2024-03-04,1,1,0,0,0,1,0,0,1,0,1458,pick,1
305350,4569,1458,2024-03-04,1,0,0,0,0,1,0,0,1,0,4569,ban,8
305350,4569,1458,2024-03-04,1,0,0,0,0,1,0,0,0,0,1458,ban,0
305350,4569,1458,2024-03-04,0,0,0,0,0,1,0,0,0,0,0,remaining,5
314304,14,624,2024-04-07,1,1,1,0,0,1,1,0,1,1,14,ban,5
314304,14,624,2024-04-07,1,1,1,0,0,0,1,0,1,1,624,ban,2
314304,14,624,2024-04-07,1,1,0,0,0,0,1,0,1,1,14,pick,6
314304,14,624,2024-04-07,1,1,0,0,0,0,0,0,1,1,624,pick,1
314304,14,624,2024-04-07,1,0,0,0,0,0,0,0,1,1,14,ban,8
314304,14,624,2024-04-07,1,0,0,0,0,0,0,0,0,1,624,ban,0
314304,14,624,2024-04-07,0,0,0,0,0,0,0,0,0,1,0,remaining,9
297036,4733,14819,2024-02-03,1,1,1,0,0,1,1,0,1,1,4733,ban,1
297036,4733,14819,2024-02-03,1,0,1,0,0,1,1,0,1,1,14819,ban,5
297036,4733,14819,2024-02-03,1,0,1,0,0,0,1,0,1,1,4733,pick,8
297036,4733,14819,2024-02-03,1,0,1,0,0,0,1,0,0,1,14819,pick,9
297036,4733,14819,2024-02-03,1,0,1,0,0,0,1,0,0,0,4733,ban,6
297036,4733,14819,2024-02-03,1,0,1,0,0,0,0,0,0,0,14819,ban,2
297036,4733,14819,2024-02-03,1,0,0,0,0,0,0,0,0,0,0,remaining,0
235019,2755,4669,2023-07-01,1,1,0,1,1,0,1,1,1,0,2755,ban,7
235019,2755,4669,2023-07-01,1,1,0,1,1,0,1,0,1,0,4669,ban,1
235019,2755,4669,2023-07-01,1,0,0,1,1,0,1,0,1,0,2755,pick,3
235019,2755,4669,2023-07-01,1,0,0,0,1,0,1,0,1,0,4669,pick,6
