13821,nottingham-miedo,Nottingham Miedo,NOTT
14468,contractless,Contractless,CTLS
14765,the-zoo,THE ZOO
1033,reckoning-esports,Reckoning Esports,RGES
14364,six-figures,Six Figures
918,global-esports,Global Esports,GE
12629,the-a-team,The A Team,TAT
14442,frogstars,FroGstars
9133,hakuba-esports,HAKUBA Esports,HKB
13424,team-sarafa,Team Sarafa,TS
14565,sherpa,SHERPA,SRP
3050,hub-esport,Hub Esport
6368,bbl-queens,BBL Queens,BBL.Q
14764,celerity-esports,Celerity eSports
15251,meow-control,meow control
12446,slt-seongnam,SLT Seongnam,SLT
12855,wizard-esports,Wizard Esports,WIZ
4131,f9-hetic,F9 Hetic,F9
14683,infernum,Infernum
3895,macko-esports,Macko Esports,MCK
14281,arcade-esports,Arcade Esports,ARC
14823,xanax-abusers,Xanax Abusers 
10305,club-penguin,club penguin
13863,estio-esports,Estio eSports,EST
14822,thinking-men,Thinking Men,THNK
14261,glip,glip
8996,esc-gaming,ESC Gaming,ESC
12380,rambutan-ni-tatay,Rambutan ni Tatay,RNT
11058,g2-esports,G2 Esports,G2
15348,prospects,Prospects
11260,armani-briefs,armani briefs
12781,last-resistance,Last Resistance,LR
12958,sila4i,Sila4i,S4
15469,hans-landa-supremacy,Hans Landa supremacy
14546,mqb-friends,MQB friends,MQB
14283,dumbfox,DumbFox,DFX
8674,rebels-velvet,Rebels Velvet,RBLS
13161,novo-esports,NOVO Esports,NOVO
4685,team-occupy,Team Occupy,OPY
910,exceeli-esports,Exceeli Esports,XLE
14092,tokyo-drift,tokyo drift,TKY
2362,skull-cracker,Skull Cracker,SKC
6210,fut-female,FUT Female,FUT.Fe
15201,bankstown-goons,BANKSTOWN GOONS
11896,19esports,19esports,19
6946,tbk-esports,TBK Esports,TBK
12211,capybara,Capybara,CAP
12875,lrv-esports,LRV Esports,LRV
6642,bleakmidwinter,BleakMidWinter,BMW
14776,elite-gaming,Elite Gaming,ELG
12108,explorers,Explorers
9437,dragons,DRAGONS,DRGN
4073,bandit-esc,Bandit ESC,BNDT
6537,hmble,HMBLE,HMB
14425,ffxd,FFXD
15216,rub-n-pug,Rub n' Pug,RNP
10332,next-in-line,Next In Line,NiL
12254,aster-army,Aster Army,ASTR
11263,unsigned-puggers,Unsigned Puggers
8128,wylde,WYLDE,WYL
12653,insanity,insanity
14689,indian-greed,Peace & Love
12463,veni-esports,Veni eSports,VENI
12124,dylynyosok,dylynyosok
9447,the-union,The Union,UNI
6400,human-tripwires,Human Tripwires,HTW
11348,dplus-esports,Dplus Esports,DK
5829,team-mystic,Team Mystic,TM
4210,made-in-thailand,Made in Thailand,MITH
8433,orangutan-x,Orangutan X,OGX
15166,megazord-71, MEGAZORD 71,MEGA
11357,dead-orbit,Dead Orbit
14517,titan-g,Titan G
14516,kibbets-jibbles,Kibbets Jibbles
12427,btr-fanclub,BTR Fanclub,BTR
14537,baiters,Baiters
14277,team-flash,Team Flash,FPT
11963,ambrosia,Ambrosia,AMB
14435,vultures,Vultures
13979,special-grade,special grade
14541,carpe-diem,Carpe Diem
13595,suicide-squad,Suicide Squad
8185,drx,DRX
11232,joblife,Joblife,JL
14478,eintracht-frankfurt,Eintracht Frankfurt,SGE
6199,team-secret,Team Secret,TS
9547,evil-geniuses-gc,Evil Geniuses GC,EG.GC
14654,jumentus,JUMENTUS,JUM
13659,wingman-patrol,Wingman Patrol,WPT
2406,furia,FURIA,FUR
14149,ender-dragon,ENDER DRAGON,END
516,fav-gaming,FAV gaming,FAV
13797,hurricane-of-feathers,Hurricane Of Feathers,HOF
14799,please-dont-fire,Please Don't Fire,PDF
1034,nrg-esports,NRG Esports,NRG
397,bbl-esports,BBL Esports,BBL
14941,xsoul,XSOUL,XS
14418,no-salary-peek,No Salary Peek,NSP
15010,monaco-esports,Monaco Esports,MNC
12473,tbd,TBD
8106,gelida-esports,Gelida Esports,GD
13219,evilchile,EVILCHILE
7243,b8-esports,B8 Esports,B8
9559,zerance,Zerance,ZER
14590,lfg-portal,LFG Portal,LFG
474,team-liquid,Team Liquid,TL
14660,burgerville,Burgerville
12694,gentle-mates,Gentle Mates,M8
12354,team-legion,Team Legion
8340,unb-green-owls,UNB Green Owls
9965,genkei-esports,GENKEI Esports
364,all-knights,All Knights,AK
2988,northeption,NORTHEPTION,NTH
11237,duplaw,duplaw
14677,esports-team-d,esports team αD,αD
15072,2game-esports,2Game Esports,2G
13714,abomineve,ABOMINEVE,ABO
13830,rtzn,RTZN,RTZN
8532,totalepro,TotalePRO,TOT
12644,os-cara-cego,OS CARA CEGO
7015,sunnybeach,SunnyBeach
13690,variants,Variants,VTS
367,9z-team,9z Team,9z
6195,team-galaga,Team Galaga,GG
12760,2easy,2easy
14707,rattius-maximus-ow,Rattius Maximus OW
14694,ace-esports,ACE Esports,ACE
14708,demise,Demise
13647,whythelongface,WhyTheLongFace
13646,ucan-esports,UCAN ESPORTS
8172,honv-d-esport,Honvéd Esport,LLH
14626,ghost-charming,Ghost Charming
120,100-thieves,100 Thieves,100T
723,wild-esports,Wild esports
15054,thebais,TheBAIS,BAIS
10735,tropicaos,TropiCaos,CAOS
8305,team-snakes,Team Snakes,SNK
14204,kami-tenchi,KAMI TENCHI,KAMI
11480,mammoth-esc,Mammoth ESC,MEC
11152,outplayed,Outplayed,OP
14429,chipi-chapas,Chipi Chapa's,CHCH
7039,stream-raiders-nacague,Stream Raiders Nacague,NCG
4567,papara-supermassive,Papara SuperMassive,SUP
106,tsm,TSM
3108,oblivion-force,Oblivion Force,OF
14474,rezahblicky,Rezahblicky
1319,funcrew,Funcrew,FC
14616,barn-nong-chok,Barn nong chok,BNC
278,detonation-focusme,DetonatioN FocusMe,DFM
14110,mara-esport,Mara Esport
6675,the-guard,The Guard,TGRD
11275,lazy,LAZY
13561,ranked-demons,RANKED DEMONS
14473,8-hours-of-sleep,8 hours of sleep
11329,oresports,OREsports,OR
15052,justus,JustUs,JST
14686,xu-gang-sapphire,Xu Gang Sapphire,XGS
15057,insurgo-alpha,Insurgo Alpha
14994,les-piments,les piments
15223,unsw-howl,UNSW Howl
8067,begenius,beGenius,BGN
10204,hazarders,HAZARDERS
5426,the-infinity-esport,The Infinity Esport,INFN
13666,stg-gaming,STG Gaming
15068,bulate,Bulate
8049,diamant-esports,Diamant Esports,DIA
14076,aquila,Aquila,AQL
12362,simple-minecraft-players,Simple Minecraft Players
14750,devilz-gg,Devilz GG,DVG
14772,team-domination,Team Domination
13043,neons,Neons,NE
14557,os-piticos,os piticos,OPI
4680,team-69,Team 69,T69
6961,loud,LOUD,LOUD
7313,bonkers,Bonkers,BONK
7211,rapid-ninjas,Rapid Ninjas,RN
10277,boost-esport,Boost Esport
14550,xenom-com-m,Xenom com M,XEN
13764,ggez,GGEZ,GGEZ
5248,evil-geniuses,Evil Geniuses,EG
14273,eternal-focus,Eternal Focus
10892,hog-riders,HOG RIDERS,HOG
13826,k20-esports,K20 Esports
13135,xoxo-esports,XOXO Esports
10635,nobles,NOBLES,NBL
9545,unity-esports,Unity Esports,UNT
10898,sk-l-esports,Skål Esports
12853,rotaryon,Rotaryon
14382,vexed-dev,Vexed.dev,VEX.D
12256,akroma,Akroma,AKR
4141,wlgaming-esports,WLGaming Esports,WLG
5931,team-big-baam,Team Big BAAM,BAAM
14662,1337,1337
6191,nom-esports,NOM Esports,NOM
11673,calamity-l,calamity L
11972,colors-esport,Colors Esport
14318,dvm-esport,DVM Esport,DVM
14833,blue-rose,Blue Rose
11056,fate-esports,FATE Esports,FATE
13689,andy-e-amigos,Andy e Amigos,AEA
