map_id,t1,t2,winner,date,map,round_wr_diff,fk_percent_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff
156100,474,7035,True,2024-02-25,5,0.07300807300807305,0.08098163098163097,0.053353389490573645,0.05614224023314937,-0.059571779571779615,-0.0524944424944425,0.044605229021813936
156101,474,7035,False,2024-02-25,8,-0.08277393501620761,0.003339090385722443,-0.0477577216205374,-0.053914163973124124,-0.002731054901860741,0.008369279460935708,-0.027677572103301108
99946,2355,7035,False,2022-10-22,5,0.08788566488355759,0.07532285081320583,0.0651339540186206,0.062477861229684906,0.0064516129032258,-0.050263864123484846,0.045793329816540676
99947,2355,7035,False,2022-10-22,0,-0.062381989832970275,-0.07362648029508834,-0.05729241877256319,-0.04610621465196632,-0.1943572984749456,0.04178649237472767,-0.040242245134382286
133538,11981,731,False,2023-06-06,1,0.031707317073170704,0.030868203177444598,0.01119133574007218,0.0009454016558514479,0.24871335869321998,0.010120832400984537,-0.0036247013849770547
133539,11981,731,False,2023-06-06,0,-0.005023495189080351,0.06265383754754977,-0.01645006016847164,-0.028216603266950118,0.07390915193555606,0.006806891922130287,-0.014332422908681117
109437,11247,8128,False,2023-01-16,3,0.4504310344827586,0.2823275862068966,0.24380264741275562,0.3100999216300941,0.42241379310344823,-0.275,0.28412667313529383
31182,278,1735,True,2021-04-17,1,0.2137476459510358,0.064030131826742,0.08664259927797834,0.12203960509045256,0.11450094161958564,-0.1291902071563089,0.08545167312939825
143516,804,12010,False,2023-10-12,8,-0.004855643044619495,-0.06461038961038956,-0.02675491375852382,-0.028683819825552116,-0.13882764654418195,-0.010796150481189848,-0.007572374332824487
143517,804,12010,False,2023-10-12,6,-0.020306468592817928,-0.014095948012232407,-0.030397111913357356,-0.02869412336016612,0.09441104222716108,0.015711779155456806,-0.018645696469964234
164237,12010,731,False,2024-04-05,1,0.009206853609309895,0.07628473285038939,0.012018493888150069,-0.0065196995072032814,0.11688581612058231,0.024865375531412416,-0.013001618283324088
164238,12010,731,True,2024-04-05,5,0.05906233630172869,0.05558501237186281,0.05321299638989153,0.0625654793085385,-0.022132006286013618,-0.06599004714510218,0.05373311126847143
164239,12010,731,True,2024-04-05,6,0.13378888061091448,-0.010035942678429721,0.08862815884476538,0.08189109619194367,0.09943192400819516,-0.09605839076178065,0.06912578907622283
95035,624,2359,False,2022-09-01,4,0.1287541395455064,0.08155380457538741,0.08695800874026215,0.10201247371511163,0.05351147653305919,-0.042476494994480606,0.06828277420449298
