map_id,t1,t2,winner,map,date,round_wr_diff,fk_percent_diff,acs_diff,kills_diff,assists_diff,deaths_diff,kdr_diff,kadr_diff
48558,2406,581,581,1,2021-08-19,0.1779502274551779,0.1760770671661761,0.12534296028880876,0.12533956098312535,0.14899652127374904,-0.13160289001873168,0.09559030538622373,0.11065821933168866
48559,2406,581,581,4,2021-08-19,0.3195251326092447,0.24778984592068698,0.11638989169675093,0.14746607269971754,0.017378125789340792,-0.22389492296034358,0.15544232130219388,0.14778469937705602
48560,2406,581,581,0,2021-08-19,0.3627450980392157,0.3725490196078431,0.22252707581227443,0.27228163992869875,0.3176470588235294,-0.2333333333333333,0.1832967932967933,0.2092590984898677
66659,7332,7386,7386,5,2022-01-24,-0.6341463414634146,-0.5121951219512195,-0.8223826714801444,-0.7782705099778271,-0.5658536585365853,-0.6195121951219512,-0.36721546170365066,-0.3854806610712122
66660,7332,7386,7332,1,2022-01-24,-0.5353535353535354,-0.45454545454545453,-0.7471480144404331,-0.714263850627487,-0.5858585858585859,-0.694949494949495,-0.3004316420014094,-0.3260286225402504
66661,7332,7386,7386,4,2022-01-24,-0.47058823529411764,-0.38235294117647056,-0.7050541516245488,-0.6720142602495544,-0.6,-0.7529411764705882,-0.2608901515151515,-0.29032881181318676
25707,624,879,624,0,2021-04-23,0.47058823529411764,0.4470588235294118,0.7225631768953068,0.6836007130124778,0.48,0.7129411764705883,0.28027802780278027,0.2915623979980415
31809,624,879,879,8,2021-04-23,0.5080645161290323,0.5564516129032258,0.7829602888086643,0.7402248289345065,0.5129032258064516,0.7096774193548387,0.30488980716253444,0.3160901598401598
31810,624,879,624,1,2021-04-23,0.5222222222222223,0.5,0.7247292418772563,0.6937710437710438,0.39555555555555555,0.6844444444444444,0.2962908303817395,0.2933316683316683
41896,1119,4456,4456,2,2021-07-12,0.26479750778816197,0.03378864126527675,0.16137184115523473,0.18214858869064485,0.004792715073088871,-0.12480230050323504,0.11948710007366894,0.10527503657815272
41897,1119,4456,4456,4,2021-07-12,0.22916666666666669,-0.036538461538461575,0.13682310469314082,0.14627525252525259,-0.03628205128205124,-0.11961538461538454,0.1011869394222335,0.08365694455920021
164091,8877,14419,8877,2,2024-04-03,-0.06303440047723208,0.04076357128653807,-0.03812274368231048,-0.027220906620389687,-0.1863988864585404,0.03382382183336645,-0.022357192298081165,-0.04881865926527678
164092,8877,14419,8877,9,2024-04-03,0.09799051704673739,0.07857304131858206,0.10967509025270777,0.13008271926763684,-0.02131406638067288,-0.05062090765409799,0.07425124769073813,0.06097941185293324
90254,5944,6094,5944,3,2022-07-02,-0.2121212121212121,-0.1112523839796567,-0.12736462093862805,-0.11670423240671177,-0.02305573214664127,0.127442254714982,-0.09171692064343921,-0.08774226783004163
90255,5944,6094,5944,0,2022-07-02,0.04409814323607425,0.02122015915119363,0.05006016847172095,0.06380616509926854,-0.12466843501326261,-0.057095490716180385,0.053994934326045615,0.03059080323383305
105080,1120,1837,1837,3,2022-12-15,0.36781609195402304,0.16710875331564984,0.21754512635379059,0.25165447579240685,0.21114058355437665,-0.15773651635720604,0.17574314574314576,0.18765925803519787
105081,1120,1837,1120,5,2022-12-15,0.19107006854531605,0.14356435643564358,0.1540794223826715,0.19413816381638171,-0.0908225437928409,-0.20158035034272662,0.16695634997638711,0.13697730693186175
105082,1120,1837,1120,4,2022-12-15,-0.009937888198757794,0.062111801242235976,0.04635379061371832,0.01117385030428509,-0.038426501035196646,-0.01656314699792958,0.011583942189771861,0.004860199131897127
67977,5248,2760,5248,2,2022-01-27,0.26704545454545453,0.2511363636363636,0.23328519855595659,0.26188016528925623,0.17340909090909093,-0.1672727272727273,0.13550622018363953,0.13777975281542282
67978,5248,2760,5248,4,2022-01-27,0.41133004926108374,0.1970443349753695,0.35841155234657035,0.4322660098522168,0.2571428571428571,-0.26330049261083743,0.20379838647971882,0.20301562088425218
99839,4462,9052,4462,4,2022-10-09,0.20526315789473681,0.08461538461538459,0.10324909747292417,0.09752791068580545,0.07433198380566805,-0.17497975708502028,0.11281930348078206,0.1208141603981173
46401,2373,2304,2304,8,2021-07-28,0.10265700483091789,0.0024154589371980784,0.024259927797833827,0.0368723466549553,0.11014492753623192,-0.10193236714975847,0.09458367205823265,0.11723348344532428
46402,2373,2304,2304,1,2021-07-28,-0.14254385964912286,-0.43333333333333335,-0.15537906137184113,-0.18090111642743215,-0.014912280701754366,0.20473684210526316,-0.19065949065949067,-0.18477130977130973
