match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,date
296749,17,878,0,9,1,8,6,2,5,2,1,4.0,-2.0,-3.0,2024-02-21
184466,918,8185,6,3,0,5,4,8,7,0,2,,-5.0,4.0,2023-04-03
281028,2359,188,9,1,2,0,4,8,6,2,0,-2.0,4.0,3.0,2023-11-11
184047,2059,2593,3,0,7,8,1,4,6,0,2,-2.0,-2.0,9.0,2023-05-03
296736,8185,278,5,8,9,0,6,2,1,2,0,3.0,-3.0,-7.0,2024-02-18
184484,918,17,8,1,3,0,6,7,4,2,0,,-3.0,6.0,2023-04-30
235029,12694,11479,8,3,7,1,4,0,6,0,2,,8.0,9.0,2023-07-03
297257,8185,17,5,8,2,9,1,6,0,0,2,2.0,1.0,4.0,2024-02-24
289449,1184,4733,2,6,1,0,4,9,8,2,0,,2.0,1.0,2023-12-15
167355,7386,8304,6,7,0,8,3,4,5,0,2,,-2.0,2.0,2023-02-15
312797,1120,17,6,0,1,9,8,5,2,1,2,,4.0,8.0,2024-03-16
248280,8185,2593,7,0,6,3,1,4,8,1,2,0.0,0.0,7.0,2023-08-20
247089,11328,14,3,7,8,4,6,1,0,0,2,,2.0,-5.0,2023-08-10
295619,11058,2355,1,2,6,0,8,9,5,2,0,1.0,-3.0,-8.0,2024-02-25
297414,2059,2593,5,2,9,8,0,6,1,0,2,-4.0,3.0,4.0,2024-02-23
168998,11058,10725,6,6,3,5,8,4,0,2,0,,2.0,0.0,2023-02-28
184500,6199,918,7,8,3,0,4,6,1,2,0,,-1.0,3.0,2023-05-15
184461,5448,878,7,8,3,5,0,4,6,2,1,,-5.0,-5.0,2023-04-01
318940,474,12694,1,0,2,8,5,6,9,2,0,,-2.0,-1.0,2024-05-03
314328,6199,8304,5,0,1,8,6,9,2,1,2,1.0,1.0,0.0,2024-04-28
183788,5248,2355,4,6,5,8,0,7,3,2,1,,-5.0,-5.0,2023-04-16
295612,6961,2359,9,6,2,5,1,8,0,2,1,4.0,2.0,9.0,2024-02-23
220296,8185,1837,8,1,6,4,3,7,0,2,0,,1.0,0.0,2023-06-11
183802,7386,2406,0,1,6,3,8,7,4,0,2,,-3.0,0.0,2023-04-29
278616,188,8185,1,2,9,4,0,8,6,2,1,1.0,4.0,1.0,2023-10-08
212532,9353,11058,4,3,6,7,8,1,0,1,2,-2.0,1.0,-7.0,2023-06-03
222707,7313,6387,8,1,3,0,7,6,4,0,2,,6.0,5.0,2023-07-04
220293,1034,14,8,4,3,0,6,1,7,2,1,,3.0,1.0,2023-06-12
312802,8877,624,9,2,5,8,6,1,0,1,2,,6.0,1.0,2024-03-18
282935,11058,10725,8,9,6,4,2,1,0,1,2,0.0,-6.0,7.0,2023-11-01
167367,120,1120,4,3,0,8,6,5,7,2,1,,9.0,4.0,2023-02-23
189058,188,1034,1,8,0,3,6,7,4,1,2,8.0,4.0,6.0,2023-05-26
185987,6675,11058,7,3,5,6,8,4,0,1,2,,6.0,6.0,2023-03-30
184033,1034,5248,4,7,3,6,8,1,0,2,0,4.0,6.0,3.0,2023-05-18
196150,11058,11602,3,6,4,0,8,7,1,1,2,,-2.0,-6.0,2023-05-05
248275,8185,5248,4,1,0,7,3,6,8,0,2,-2.0,0.0,3.0,2023-08-19
183816,2359,188,3,0,7,8,4,6,1,0,2,,3.0,9.0,2023-05-15
318914,2059,4915,9,2,0,8,1,6,5,0,2,-4.0,1.0,3.0,2024-04-04
184035,2359,6961,3,1,7,8,4,0,6,0,2,-2.0,0.0,3.0,2023-05-19
184036,7386,120,8,4,0,1,7,3,6,2,1,,-10.0,-1.0,2023-05-20
312798,2,8877,9,2,5,0,6,8,1,2,0,,4.0,10.0,2024-03-16
247101,8185,6961,3,4,1,7,6,8,0,2,1,-3.0,-3.0,2.0,2023-08-06
247077,624,1120,6,8,4,0,3,7,1,2,0,2.0,1.0,11.0,2023-08-10
318935,8877,7035,0,2,6,8,5,9,1,2,1,3.0,1.0,-10.0,2024-04-26
318924,12694,2593,1,5,9,0,2,6,8,0,2,,0.0,0.0,2024-04-17
