,match_id,t1,t2,winner,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,odds,best_odds,worst_odds,date,t1_elo,t2_elo,elo_diff
1236,64815,624,8124,True,1,8,3,5,2,0,4,2,0,,11,4,,0.0,1.0,2022-02-25,1545.188319554996,1500.0,45.18831955499604
694,72359,2917,918,False,3,8,2,0,4,1,5,0,2,1.0,9,7,,0.0,1.0,2022-02-25,1500.0,1562.086886538951,-62.08688653895092
850,72367,1120,5944,True,2,8,4,5,1,0,3,2,0,2.0,4,2,,0.0,1.0,2022-02-26,1532.0,1514.5641271217237,17.435872878276314
664,64823,6718,6387,False,2,8,3,0,4,5,1,1,2,,3,5,,0.0,1.0,2022-02-26,1500.0,1529.8601795208124,-29.86017952081238
321,70067,6675,533,True,0,8,2,5,1,4,3,2,1,0.0,4,6,0.4524886877828054,0.4524886877828054,0.4524886877828054,2022-02-26,1557.0924953578146,1516.6380708038496,40.454424553965055
1036,64817,624,7987,True,0,1,2,4,8,5,3,2,0,,11,9,,0.0,1.0,2022-02-26,1559.1189759005522,1500.0,59.118975900552186
1467,71620,8182,8075,True,3,0,5,2,1,8,4,2,1,,1,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,2022-02-26,1516.0,1500.0,16.0
308,64824,7987,6387,False,4,2,8,3,5,1,8,0,2,,6,4,,0.0,1.0,2022-02-26,1486.6965544054422,1544.4884431983,-57.79188879285789
356,69961,7397,4050,True,1,0,8,4,3,5,2,2,0,,7,11,0.5208333333333334,0.5208333333333334,0.5208333333333334,2022-02-26,1531.263693206478,1484.0,47.26369320647791
1304,72361,918,799,False,3,1,0,8,4,2,5,1,2,0.0,7,8,,0.0,1.0,2022-02-26,1575.257731099197,1519.698288162896,55.55944293630091
1341,70066,2,8127,False,2,4,8,0,3,1,5,1,2,,1,1,0.5901639344262295,0.5901639344262295,0.5901639344262295,2022-02-26,1518.109330951236,1517.3308208598173,0.7785100914186387
684,72366,6093,6094,False,4,0,5,8,3,2,1,0,2,,-4,-1,,0.0,1.0,2022-02-26,1500.0,1500.736306793522,-0.7363067935220897
774,70291,6946,6961,False,5,4,3,2,1,0,8,0,2,,3,3,0.4664924601230333,0.7876857749469215,0.1452991452991452,2022-02-26,1500.0,1516.0,-16.0
525,70293,4894,7391,False,4,3,0,2,1,5,8,1,2,,-2,4,0.5495495495495496,0.5495495495495496,0.5495495495495496,2022-02-27,1468.7023986633528,1500.0,-31.297601336647176
294,70068,642,120,True,1,5,0,4,3,8,2,2,1,-4.0,-3,5,0.4424778761061947,0.4424778761061947,0.4424778761061947,2022-02-27,1502.6882488553877,1470.1212501843295,32.56699867105817
969,71623,8088,8185,False,3,1,5,8,2,0,4,0,2,,-1,8,,0.0,1.0,2022-02-27,1500.0,1531.263693206478,-31.26369320647791
59,72369,4460,731,True,0,8,3,5,2,4,1,2,0,,-5,-6,,0.0,1.0,2022-02-27,1484.0,1454.1721796717984,29.827820328201597
510,70069,2815,1034,True,2,8,0,1,3,4,5,2,1,2.0,4,-3,0.6896551724137931,0.6896551724137931,0.6896551724137931,2022-02-27,1500.0,1511.6345075317536,-11.63450753175357
1103,72373,5443,1120,False,2,3,8,5,0,4,1,1,2,2.0,4,5,,0.0,1.0,2022-02-28,1515.263693206478,1547.197721775152,-31.934028568674194
709,72376,4462,6094,False,4,3,8,1,5,0,2,1,2,,-5,2,,0.0,1.0,2022-03-01,1500.0,1516.7023986633528,-16.702398663352824
671,71625,8182,2542,True,2,5,8,3,0,4,1,2,0,,2,6,0.320040899795501,0.3333333333333333,0.3067484662576687,2022-03-02,1531.263693206478,1500.0,31.26369320647791
274,72378,1120,731,True,5,3,4,1,8,0,2,2,0,,4,-10,0.99009900990099,0.99009900990099,0.99009900990099,2022-03-02,1561.7312327681311,1439.5424367399048,122.1887960282263
115,72379,6094,1224,False,4,0,5,3,2,8,1,0,2,,1,3,,0.0,1.0,2022-03-02,1531.9338167652902,1500.0,31.933816765290203
1184,72629,5443,6094,True,2,5,0,8,4,3,1,2,0,,6,0,,0.0,1.0,2022-03-04,1500.730182213499,1514.467337430236,-13.737155216737165
253,70071,5248,6675,False,3,0,8,8,5,4,1,0,2,,-6,4,0.1666666666666666,0.1666666666666666,0.1666666666666666,2022-03-04,1482.3696027446092,1571.2378741103862,-88.86827136577699
381,71629,8182,8082,True,8,0,3,5,1,4,2,2,0,,4,2,0.819672131147541,0.819672131147541,0.819672131147541,2022-03-04,1545.8278203282016,1484.0,61.8278203282016
1353,71628,8086,8185,False,5,4,3,1,8,2,0,0,2,,2,10,,0.0,1.0,2022-03-04,1484.0,1545.8278203282016,-61.8278203282016
