match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,winner,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,best_odds,worst_odds,date
285029,12685,11328,2,0,1,4,9,6,8,False,1,2,0,1,6,0.5454545454545454,0.3548387096774194,2023-11-24
189068,5310,9077,6,3,7,0,4,5,8,False,0,2,-1,-3,10,0.19999999999999996,0.19999999999999996,2023-04-01
107026,2593,628,2,4,1,8,5,0,3,True,2,1,-1,8,6,0.4166666666666667,0.4166666666666667,2022-06-18
152997,7963,7967,0,4,2,7,1,5,3,False,0,2,0,11,0,0.45355191256830607,0.45355191256830607,2022-11-05
184364,6946,4894,5,3,6,0,7,4,8,False,0,2,-1,0,1,0.5594713656387665,0.5594713656387665,2023-03-14
296811,6665,14616,8,2,6,5,9,0,1,True,2,0,,1,-5,0.9433962264150942,0.8620689655172414,2024-03-02
179496,724,7269,3,4,5,8,6,0,7,False,0,2,2,-3,-2,0.40828402366863903,0.40828402366863903,2023-03-14
124271,8904,2917,3,4,2,7,1,0,5,True,2,1,-1,2,4,0.25252525252525254,0.25252525252525254,2022-08-12
193570,1124,4958,7,4,3,8,6,1,0,False,0,2,-3,-3,-1,0.5215311004784688,0.4974874371859297,2023-05-10
299825,15016,11276,2,0,8,1,6,9,5,False,0,2,,5,-4,0.5670995670995671,0.5454545454545454,2024-02-29
279107,12685,1120,2,8,0,4,6,9,1,True,2,0,-2,2,4,0.16339869281045752,0.1277139208173691,2023-10-27
317069,14773,10294,0,2,9,1,5,6,8,True,2,0,-2,4,1,0.0,1.0,2024-03-29
168295,11708,11348,2,5,1,0,4,3,7,False,0,2,,-2,5,0.05660377358490576,0.05660377358490576,2023-02-08
76225,2032,7031,4,8,3,0,5,1,2,True,2,1,,-1,2,0.8474576271186441,0.8474576271186441,2022-03-18
158659,7038,4173,5,0,1,3,4,2,7,False,1,2,,7,2,0.4708994708994708,0.4708994708994708,2022-12-15
67364,637,1034,1,8,5,3,2,0,4,False,0,2,1,5,5,0.0,1.0,2022-01-30
180741,685,6882,8,5,0,4,3,7,6,False,0,2,-2,-3,4,0.11504424778761058,0.11504424778761058,2023-03-12
281031,188,2406,8,4,9,1,6,2,0,False,0,2,3,0,5,0.646643109540636,0.6389891696750902,2023-11-12
188564,10190,9436,5,0,3,7,6,8,4,True,2,0,2,6,-1,0.7299270072992701,0.7194244604316548,2023-04-17
