id,linkname,fullname,abbrev,secondary_id
10305,club-penguin,club penguin
15201,bankstown-goons,BANKSTOWN GOONS
4073,bandit-esc,Bandit ESC,BNDT
14707,rattius-maximus-ow,Rattius Maximus OW
14690,light-work,Light work
14694,ace-esports,ACE Esports,ACE
14691,vnd-esports,VND ESPORTS
14692,dxa-esports,DXA Esports
14283,dumbfox,DumbFox,DFX
10307,built-for-greatness,Built For Greatness,BFG
14281,arcade-esports,Arcade Esports,ARC
1319,funcrew,Funcrew,FC
14695,lazytown,LAZYTOWN
15204,just-anything,Just Anything
15203,disorder,Disorder
12097,antic-esports,Antic Esports,ANTC
14693,swingers,Swingers
15208,edge,EDGE
15207,in-a-call-for-work,in a call for work
15212,dingle-googy-and-friends,DINGLE GOOGY and friends
15227,after-life-esports,After Life Esports,ALE
15209,fishy-fraggers,FISHY FRAGGERS
15211,prodigies,Prodigies
14698,dreams-to-legends,Dreams To Legends,DTL
15205,gates-of-heaven,Gates of Heaven
15210,the-burgers,the burgers
8535,salt-n-pepper,Salt n Pepper,SnP
15206,t20,T20
15213,peak-iron-2,Peak Iron 2
9727,koopa-troopas,Koopa Troopas,KTS
15216,rub-n-pug,Rub n' Pug,RNP
14686,xu-gang-sapphire,Xu Gang Sapphire,XGS
15215,unsw-roar,UNSW Roar
15214,korean-zebras,Korean Zebras,KZ
15217,azadee,Azadee
14706,severu2,Severu2
15220,burnt-source,Burnt Source
15118,wolf-pack,Wolf Pack
15221,corn-dawgs,Corn Dawgs,CD
15225,super-spike-bros,Super Spike Bros
15224,tbd,TBD
14701,velcora-chimera,Velcora Chimera
15222,parallax,Parallax
15226,overheat,Overheat
15223,unsw-howl,UNSW Howl
15228,ninjas-in-paris,Ninjas In Paris
15219,neural-esports,Neural Esports
15253,focusgg,FOCUSGG,FOC
11176,aym-esports,AYM Esports,AYM
14461,bar-a-esports,Barça eSports,BAR
8924,ramboot-club,Ramboot Club,RBT
6149,case-esports,Case Esports,CASE
9508,five-media-clan,FIVE Media Clan,FIVE
8258,zeta-gaming,ZETA Gaming,ZETA
4616,ucam-esports-club,UCAM Esports Club,UCAM
6313,kpi-gaming,KPI Gaming,KPI
13164,chao-hui-edward-gaming,Chao Hui EDward Gaming,EDGS
7511,kr-blaze,KRÜ BLAZE,KRÜ.B
8240,team-smg-gc,Team SMG GC,SMG.GC
14278,shopify-rebellion,Shopify Rebellion,SR
7055,team-liquid-brazil,Team Liquid Brazil,TL
9547,evil-geniuses-gc,Evil Geniuses GC,EG.GC
6368,bbl-queens,BBL Queens,BBL.Q
6530,g2-gozen,G2 Gozen,G2.G
13558,howl-esports,HOWL Esports,HOWL
4572,galatasaray-esports,Galatasaray Esports,GS
9077,s2g-esports,S2G Esports,S2G
4567,papara-supermassive,Papara SuperMassive,SUP
4762,galakticos,Galakticos,GAL
4669,digital-athletics,Digital Athletics,DATH
4396,regnum-carya-esports,Regnum Carya Esports,REG
6132,stanbul-wildcats,İstanbul Wildcats,IW
5310,fenerbah-e-esports,Fenerbahçe Esports,FB
4686,fire-flux-esports,Fire Flux Esports,FF
14468,contractless,Contractless,CTLS
15120,r8-esports,R8 Esports,R8
11863,skulls-esports,Skulls Esports,SKUL
4685,team-occupy,Team Occupy,OPY
1471,team-raad,Team RA'AD,RAAD
1470,nasr-esports,NASR Esports,NASR
6159,onyx-ravens,Onyx Ravens,OXR
2290,gamax-esports,Gamax Esports,GMX
13594,bequiet,BeQuiet,BQ
15156,vision-esports,Vision Esports,VIS
9437,dragons,DRAGONS,DRGN
1458,the-ultimates,The Ultimates,TU
9545,unity-esports,Unity Esports,UNT
4569,fraggerz,Fraggerz,FRG
7969,team-falcons,Team Falcons,FLC
6035,twisted-minds-esports,Twisted Minds Esports,Twis
10431,underground-gaming,Underground Gaming,UG
13161,novo-esports,NOVO Esports,NOVO
14614,hge-esport,HGE Esport,HGE
13830,rtzn,RTZN,RTZN
11152,outplayed,Outplayed,OP
1316,qlash,QLASH,QLSH
9438,vx300-gaming,VX300 Gaming,VX3
6127,axolotl,Axolotl,AXL
6538,dsyre,DSYRE,DSY
11002,reta-esports,RETA Esports,RETA
15077,mookah-rabbits,Mookah Rabbits,MR
11896,19esports,19esports,19
7269,fusion,FUSION,FSN
4094,six-karma,Six Karma,6K
724,e-xolos-lazer,E-Xolos LAZER,EXL
14941,xsoul,XSOUL,XS
13821,nottingham-miedo,Nottingham Miedo,NOTT
364,all-knights,All Knights,AK
9427,oxen,OXEN
361,furious-gaming,Furious Gaming,FG
367,9z-team,9z Team,9z
